Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
61000	408	390	10867127	24	20	1	0	1119010	266	170	7184796	1670879	148	0	967257	35	453385	1	348809	841990
61250	442	376	11005647	10	42	1	2	1145722	310	194	7179266	1692962	65	0	978395	331	426387	2	355196	850985
61500	398	395	11187857	111	26	0	0	1107508	124	150	7336651	1657665	35	0	947392	26	441528	0	353436	873498
61750	422	427	11063456	79	20	0	0	1138209	190	152	7288949	1710178	17	0	966786	140	430700	0	363795	867650
62000	536	336	11212886	53	28	0	0	1137367	100	178	7270347	1622864	23	0	974101	38	467954	0	353889	848826
62250	446	424	11169731	27	18	16	29	1123815	149	124	7288305	1631745	100	0	966028	28	441723	1	361180	857571
62500	518	351	11285046	3	24	1	1	1143937	583	116	7355850	1613577	14	1	984450	80	465388	6	354987	876263
62750	504	376	11062882	62	62	1	1	1206369	260	132	7419729	1642107	15	0	1043196	42	461668	0	356808	893799
63000	564	383	11081023	26	20	0	1	1187530	136	163	7314550	1633278	181	1	1011652	98	483554	0	373279	870430
63250	458	384	11160517	22	23	0	17	1297183	98	191	7415699	1654190	127	0	982375	33	486293	0	363519	872218
63500	492	490	11385218	4	25	2	1	1185071	156	139	7471966	1676257	22	2	1007807	42	560735	0	359828	899783
63750	458	374	11435223	4	39	0	1	1390562	111	127	7441015	1649497	16	1	996791	46	513435	7	359431	925516
64000	490	386	10564439	13	24	0	1	1168256	82	138	7474001	1681835	16	207	982960	43	505190	7	369924	923798
64250	486	305	10193734	1	13	0	1	1139150	93	150	7489879	1682938	11	5	1000454	52	513588	24	377756	914048
64500	495	398	10285617	3	24	0	37	1141191	90	162	7556715	1665162	41	38	990758	82	502542	0	379316	1000500
64750	443	377	10271505	4	44	17	0	1124334	82	126	7592201	1677837	12	0	1018307	55	518956	0	380577	1040739
65000	549	372	10233203	26	20	0	3	1072180	86	121	7647303	1696459	13	0	1022778	81	495635	1	371812	981696
65250	493	387	10252205	8	44	36	43	1050442	75	153	7602224	1695458	14	0	1009661	43	452084	25	372793	949281
65500	489	407	10130725	8	22	0	31	1068921	112	166	7663849	1719081	18	12	1023651	43	452371	1	379013	940483
65750	510	372	10130544	28	16	0	42	1050706	94	150	7671393	1702112	12	0	1031265	6722	538705	1	372702	933203
66000	443	331	10163978	6	63	0	3	1159824	103	205	7774772	1749835	10	0	1024197	34	468734	0	378893	941865
66250	487	396	10376531	10	17	0	48	1100770	80	149	7866321	1720440	47	0	1037841	51	460932	4	383470	944685
66500	522	420	10544156	1	21	0	0	1082736	73	234	7972716	1753128	14	0	1039217	31	468241	0	386240	970607
66750	484	341	10514981	2	34	0	0	1174084	106	134	7761747	1748135	10	9	1047047	25	470784	0	397519	960712
67000	437	437	10683329	4	22	1	2	1185900	71	154	7817916	1757685	13	0	1035785	50	486640	1	392158	960340
67250	503	420	10547334	3	21	0	0	1187224	105	198	7818320	1768044	47	0	1042543	37	469356	0	387803	952337
67500	590	312	10614346	41	39	0	0	1247119	94	64	7877132	1769461	15	0	1051614	24	483421	1	398394	947628
67750	531	451	10619733	2	21	2	0	1118724	65	25	7946468	1784244	11	52	1049133	103	482969	1	403394	956427
68000	451	369	10674857	2	18	0	0	1374198	92	80	7939204	1932328	42	0	1069732	61	527843	2	396866	944364
68250	484	365	10750252	3	38	17	0	1151011	91	289	7967329	1932605	16	0	1077353	83	488125	0	389703	955387
68500	496	433	10805648	42	23	1	52	1189105	227	307	8028152	1841259	4	0	1065192	76	511155	0	386401	971344
68750	483	469	10872323	2	38	1	0	1243321	103	253	8078287	1866848	15	0	1079821	59	523496	0	395458	979161
69000	501	381	10948518	3	21	0	1	1216958	92	96	8035205	1804346	43	0	1073031	56	470428	22	395450	959866
69250	547	412	11055680	42	53	0	0	1142939	118	148	8460376	1875151	9	0	1115938	26	472230	0	392216	968695
69500	537	379	11247940	6	20	9	43	1130694	105	116	8153456	2124880	9	0	1117393	34	467354	0	423097	976196
69750	520	392	11100842	31	35	1	2	1165241	89	212	8128588	1878531	15	1	1113238	26	473947	0	402133	984244
70000	483	390	11113514	4	24	0	1	1132144	109	220	8436341	1894196	118	0	1099523	37	477901	0	400081	990679
70250	443	342	11135289	13	17	1	0	1128117	108	225	8324007	1889278	31	11	1102657	52	483407	5	398330	993421
70500	497	343	11115716	4	8	3	0	1155633	98	312	8270262	1883870	64	0	1107557	31	508134	1	399843	984984
70750	480	473	11441028	3	11	0	0	1162800	94	256	7501114	1881681	11	0	1112377	41	501324	0	399665	990755
71000	488	397	11388823	5	11	0	0	1270327	181	207	7996798	1890032	13	0	1122373	133	494026	0	405776	996775
71250	450	451	10187219	2	8	0	1	1283735	102	347	7757455	1926672	38	1	1118024	27	517376	0	415366	987579
71500	568	404	9686167	1	24	2	0	1269301	121	194	7571937	1946999	12	0	1208662	42	500578	0	421409	995223
71750	487	410	9526191	2	15	0	1	1142213	84	190	7663657	2020186	12	0	1239820	30	496493	21	431472	992346
72000	494	378	9667773	33	13	9	0	1146098	107	255	7583248	1979238	16	0	1213252	20	492448	0	414453	1023257
72250	488	438	9694780	3	54	60	1	1197767	120	250	7760120	1984197	150	0	1191107	55	507126	0	434664	1005641
72500	525	432	9679245	2	13	0	0	1173675	97	112	7675216	1953652	9	39	1195306	32	497625	1	449380	1006543
72750	465	400	9945109	2	47	0	1	1230411	234	100	7655141	1996144	16	0	1191954	20	496039	22	437065	1024355
73000	609	392	9828344	43	23	0	0	1283861	282	125	7670628	2074737	23	0	1208890	18	552670	0	458907	1020866
73250	475	379	9800946	3	34	0	1	1204851	125	99	7668559	2019637	23	0	1214382	24	535458	0	449776	1023663
73500	454	440	9702669	31	15	12	17	1186861	122	117	7758612	2024147	9	0	1221944	23	526700	0	446325	1023835
73750	530	478	9715642	14	21	0	1	1204957	120	90	7816029	2007410	11	0	1202487	99	494907	65	421748	1016681
74000	475	469	9726892	6	19	0	1	1364976	178	17	7694679	1980824	43	0	1195768	32	553964	0	447214	1028091
74250	506	473	9814437	7	22	0	0	1180957	275	14	7742552	2028510	14	0	1204876	24	632483	3	444567	1051381
74500	473	390	9826059	2	9	32	1	1190410	231	19	7834268	2043006	12	0	1236418	54	637694	1	431192	1044852
74750	475	380	9903508	14	52	0	1	1189776	182	34	7901997	2038878	10	9	1244722	24	608694	2	434886	1046194
75000	485	388	9952943	3	14	0	0	1213377	309	15	7968329	2008247	12	0	1244274	21	614253	2	443725	1048418
75250	513	422	10083478	3	14	0	1	1175970	242	14	7883610	2040890	14	0	1220926	50	549709	0	435324	1074957
75500	558	415	10114292	3	13	0	17	1196848	212	44	7920343	2079076	9	0	1201842	25	444952	4	439140	1101932
75750	540	382	10128766	16	15	0	0	1257262	266	123	7995089	2064417	51	0	1219223	21	475832	1	442881	1161995
76000	551	398	10197065	16	17	0	1	1254901	244	268	7948192	2084376	18	0	1206393	22	469764	2	457434	1069832
76250	619	432	10166332	5	58	0	0	1570737	241	428	8083693	2068568	12	7	1214173	29	496820	23	456709	1055186
76500	819	430	10168903	65	43	0	1	1401769	279	163	8112462	2092608	16	0	1232853	24	586294	0	439449	1076737
76750	533	444	10393614	1	18	26	0	1397624	136	195	8148122	2148375	34	0	1230147	23	541389	1	466345	1086646
77000	512	431	10442727	11	11	0	43	1325874	215	98	8078135	2095451	8	0	1225645	57	582393	0	440751	1064023
77250	535	417	10306736	157	13	0	1	1273920	126	127	8192797	2119391	21	0	1208123	50	628691	1	444093	1083902
77500	482	353	10315858	2	52	2	0	1253400	146	121	8224283	2127729	77	0	1237053	20	652536	0	457600	1071194
77750	651	537	10363835	7	14	0	1	1247222	94	90	8181644	2173796	58	0	1250360	27	646684	1	471915	1181024
78000	12377	688	10351974	4	13	29	1	1217878	169	107	8152587	2134676	62	0	1222933	30	595634	53	484390	1143924
78250	1027	431	10348227	2	34	0	0	1221751	118	93	8178697	2106028	70	0	1237821	20	662035	1	467563	1079663
78500	580	408	10562303	8	15	1	1	1236472	140	74	8211763	2109880	15	0	1266465	63	700589	1	461378	1089180
78750	597	410	10733615	2	11	0	10	1264718	129	99	8279879	2113208	19	0	1256991	29	625832	1	475469	1094802
79000	593	412	10713366	23	16	26	133	1270739	77	95	8314710	2136856	14	9	1256114	25	635927	24	485382	1094085
79250	552	502	10701605	2	13	1	2	1300834	125	110	8415914	2165517	27	4	1239774	94	602502	4	486836	1113329
79500	723	450	10783819	5	15	35	2	1318309	83	79	8219409	2123311	34	4	1241982	29	650729	2	478797	1109641
79750	823	380	10856690	61	16	0	0	1352560	82	63	8432134	2148464	60	11	1278719	24	599932	0	503910	1144692
80000	836	421	10795684	1	15	0	2	1270879	102	84	8445746	2114297	18	0	1268565	31	566177	23	502264	1133564
80250	866	408	10888199	9	14	1	82	1273640	73	105	8505367	2135697	11	0	1278073	29	695142	0	501373	1125820
80500	766	497	10834948	14	13	0	5	1275111	117	78	8465860	2120936	23	0	1272226	31	625175	2	514711	1123181
80750	688	454	10981910	5	15	0	22	1328715	116	97	8594183	2178779	10	0	1406941	55	683057	5	512469	1142360
81000	623	522	10978021	1	43	1	3	1342810	155	97	8515101	2160697	15	0	1344409	38	618601	1	502231	1142165
81250	1069	510	10945857	2	16	0	0	1312376	428	115	8583462	2193175	8	0	1339378	122	610723	6	503217	1146045
81500	938	493	11003792	21	8	0	4	1273852	511	91	8584419	2228829	28	29	1350409	43	641299	1	505643	1127904
81750	535	422	11084683	2	35	1	0	1273302	204	101	8876968	2248178	9	0	1366951	37	631386	3	510908	1139667
82000	554	430	11067907	2	23	0	10	1265630	108	95	8768824	2221180	10	0	1353757	62	649813	2	498731	1146483
82250	524	579	11195724	5	29	12	1	1263186	114	128	8672034	2302379	29	0	1359205	31	652484	2	508732	1149617
82500	538	616	11157970	5	14	0	1	1258997	123	98	8802119	2281491	56	34	1365680	28	614699	40	505968	1161401
82750	588	515	11234548	5	47	0	2	1298726	116	159	8895820	2274398	12	0	1365545	64	625917	3	495839	1166351
83000	523	557	11278488	8	16	0	0	1299452	137	143	8749538	2279106	10	0	1333696	19	561003	0	502392	1151234
83250	615	486	11275696	6	37	1	10	1298391	106	144	8758281	2257667	24	4	1287047	25	638695	2	502209	1163479
83500	548	531	11366573	6	35	0	1	1274523	177	82	8792337	2255228	16	1	1302216	29	700193	1	500942	1158458
83750	583	513	11349334	36	18	0	1	1298370	194	267	8901224	2254295	12	0	1354748	21	662452	0	503749	1155750
84000	591	512	11320264	4	42	0	2	1292251	108	293	8987247	2246624	30	0	1387739	34	710797	0	507553	1176780
84250	537	582	11407273	19	19	0	9	1318686	118	241	9029860	2276128	22	0	1358298	37	610846	0	500802	1214121
84500	596	576	11450704	2	15	0	1	1335923	125	286	8957180	2290968	10	0	1371546	95	597832	62	523963	1180522
84750	518	483	11483994	5	20	0	0	1317284	103	361	9019069	2304504	15	0	1337328	39	537635	8	527242	1191778
85000	517	485	11539958	4	26	1	0	1334513	111	267	9002846	2288319	7	0	1344359	40	528448	0	503049	1203508
85250	545	522	11563257	5	20	0	0	1322262	124	267	9043234	2305486	17	0	1343039	20	551769	2	507983	1199661
85500	525	631	11622571	3	21	0	10	1327625	108	318	9097531	2311683	10	0	1366815	68	525462	0	496979	1202261
85750	605	615	11558326	2	43	0	0	1329848	151	232	9088053	2309678	10	0	1388381	21	536617	3	486653	1213178
86000	770	556	11658470	21	19	0	0	1356925	100	342	9011558	2312528	42	2	1384589	21	539286	3	490287	1222660
86250	746	552	11751898	2	60	0	0	1356402	108	217	9071897	2298521	28	21	1401517	54	536654	0	489405	1198640
86500	727	451	11736711	1	43	0	0	1364182	130	124	9125636	2288164	12	1	1359825	20	596296	0	502412	1215533
86750	816	383	11754136	4	25	29	0	1371576	110	93	9232162	2285043	30	0	1383150	24	571179	37	522641	1217536
87000	612	446	11762000	3	20	0	0	1396950	147	190	9182487	2293803	14	72	1370569	82	576120	30	509899	1210761
87250	569	430	11820006	2	14	1	0	1360916	106	185	9096453	2341317	9	0	1497422	22	555843	41	497126	1208219
87500	567	378	11873454	34	26	0	26	1398996	149	95	9210446	2291929	11	0	1445191	67	548457	41	513887	1251756
87750	553	339	11884226	20	21	0	1	1401059	119	8	9462019	2364118	40	0	1439838	19	534104	20	507202	1226640
88000	546	429	11941285	4	21	78	0	1376704	173	18	9360032	2366090	17	20	1441305	23	552181	2	505755	1241534
88250	529	470	11886267	3	25	0	0	1377127	208	17	9324950	2413620	16	44	1467825	55	521416	80	510895	1250331
88500	631	390	11991705	1	22	0	1	1374932	124	49	9310504	2412252	17	95	1441404	22	519617	59	505204	1232040
88750	575	395	12026003	21	18	1	0	1411336	125	13	9382340	2387707	13	0	1437743	36	527178	3	530878	1245106
89000	556	392	12200795	3	26	1	0	1381803	126	13	9395910	2395292	31	10	1443176	21	516999	0	522590	1252153
89250	554	408	12028397	3	54	0	0	1388428	135	34	9388900	2397555	67	0	1490420	19	523904	0	510491	1254727
89500	539	354	12207194	2	22	0	0	1409768	227	9	9423256	2420999	26	4	1472214	25	523478	0	519149	1251168
89750	484	454	12156015	177	23	0	1	1388174	264	4	9518565	2444096	17	1	1408310	20	519206	0	510342	1275538
90000	539	514	12334871	22	25	1	0	1478574	238	11	9499891	2421163	11	0	1402914	22	524337	1	514045	1267613
90250	564	432	12233536	4	19	0	0	1392142	342	16	9485635	2420285	77	10	1481343	24	528427	1	523136	1253911
90500	501	354	12361254	31	23	0	20	1414343	343	16	9528028	2428671	11	0	1478323	73	515700	0	527213	1255241
90750	534	439	12240242	4	24	0	0	1401684	338	16	9549354	2500263	10	0	1470746	57	534580	1	525519	1292377
91000	464	448	12368900	53	28	0	1	1417280	277	58	9560096	2488741	10	0	1438543	26	549757	0	525432	1265176
91250	506	360	12486325	4	25	40	0	1421852	234	16	9638566	2552603	15	10	1438549	74	539758	4	527836	1268408
91500	472	443	12141843	2	21	0	0	1400952	240	24	9579440	2500990	15	0	1449042	26	528393	0	529288	1284215
91750	501	385	11896137	6	19	0	9	1409818	270	14	9658062	2474707	12	4	1447130	52	582175	3	528610	1286267
92000	578	364	11774774	3	46	0	42	1418282	223	16	9780359	2497374	70	0	1461847	63	603480	1	528966	1272219
92250	598	433	11819625	14	32	1	20	1416281	310	31	9771589	2477616	77	0	1450749	89	682742	0	527595	1303740
92500	532	357	11691376	1	66	0	0	1432604	214	62	9769872	2468363	43	0	1560189	103	582964	0	537745	1305434
92750	494	425	11845261	4	60	1	3	1422507	187	101	9801716	2433352	31	0	1724132	70	558507	0	534122	1300138
93000	489	411	11908633	42	23	0	0	1452343	136	745	9904869	2454726	165	0	1563810	21	683735	1	532789	1297306
93250	468	402	11834656	1	22	15	18	1440437	153	425	9882811	2450304	45	0	1605505	29	548370	20	530766	1303577
93500	488	394	11843626	4	22	0	0	1440362	115	294	9821583	2464378	36	2	1509269	30	570202	0	526558	1300619
93750	592	424	12056447	4	20	34	0	1440214	140	143	9897270	2464841	20	0	1484302	23	542501	0	540860	1305700
94000	620	424	11952333	14	20	0	0	1454561	120	186	9858811	2479917	20	0	1446519	20	585219	0	537068	1331393
94250	572	432	12053407	4	39	0	27	1460129	185	31	9838905	2483235	25	0	1525208	68	593200	42	542299	1310554
94500	532	447	12072935	2	27	0	1	1466588	103	13	9841886	2487425	26	0	1548962	38	570152	1	546273	1317045
94750	568	422	11998660	64	16	0	0	1465163	120	56	9827968	2504160	22	0	1504652	71	563602	0	551535	1337335
95000	561	482	12256493	0	20	0	0	1514601	127	18	9935937	2498367	39	11	1525961	32	576703	0	553211	1330062
95250	536	392	12390618	2	43	0	20	1499307	102	19	9965219	2498979	20	0	1516806	66	564040	0	558321	1347306
95500	525	398	12094361	2	18	30	1	1491684	108	107	9936608	2518873	22	0	1517169	81	620389	0	579193	1338753
95750	532	368	12238937	17	56	0	0	1713238	108	77	9963888	2510206	41	0	1538936	36	570670	0	551246	1337242
96000	510	507	12215954	2	42	0	0	1589926	125	163	10273885	2523333	24	0	1499556	135	602362	49	552483	1331364
96250	514	516	12199951	4	26	0	0	1495389	90	91	10022928	2672424	21	1	1543327	25	642536	0	559497	1338390
96500	527	433	12215451	3	59	36	0	1698762	98	25	10073232	2751274	28	4	1500459	25	691410	7	573073	1346133
96750	509	420	12404352	1	48	0	0	1540560	142	14	10176279	2681342	22	0	1507947	52	660305	3	582146	1354953
97000	536	383	12259017	6	19	31	0	1517708	115	22	10259235	2688432	15	1	1528992	39	747246	21	554229	1383680
97250	512	399	12534793	5	27	0	43	1508845	166	26	10251551	2722447	20	41	1566258	24	676081	1	568273	1376507
97500	540	400	12332195	5	52	0	0	1534072	110	57	10539181	2605174	29	0	1541780	59	674464	0	564869	1366142
97750	578	522	12540293	14	31	29	0	1511578	154	20	10479298	2602158	142	0	1530154	31	664229	0	560616	1362727
98000	517	405	12886267	39	27	1	10	1530435	141	57	10787511	2659361	105	0	1534580	23	726085	0	562511	1369429
98250	526	440	12691220	13	25	0	0	1529015	161	26	10702581	2665526	28	7	1534758	53	718328	0	579286	1378646
98500	508	424	12757599	14	19	0	2	1537142	116	22	10752598	2644574	26	7	1565574	59	736908	0	575163	1379381
98750	529	406	12830295	1	54	18	50	1527013	127	15	11073413	2615264	62	0	1524934	99	666439	2	570542	1370231
99000	634	477	12708569	6	27	0	0	1540665	266	23	10859630	2653093	37	0	1552350	26	752983	0	577511	1402344
99250	527	446	12919121	16	17	0	0	1565217	623	24	10634196	2699636	20	0	1564889	22	828151	1	586990	1410557
99500	522	421	12828721	4	21	1	40	1545977	243	23	10664956	2648641	24	1	1582708	32	831691	2	605530	1391462
99750	549	434	13012618	5	15	0	0	1559688	238	76	10573249	2715437	75	0	1545063	23	742821	1	598235	1396031
100000	503	415	12951852	6	20	2	0	1563844	236	64	10588455	2668863	26	0	1578200	24	900283	3	594708	1381570
100250	565	416	12830240	22	14	1	0	1545332	239	286	10839468	2674129	25	0	1579466	57	831184	2	585080	1417908
100500	527	456	13029664	2	16	0	0	1585216	242	239	10969137	2692679	37	2	1573238	17	895530	0	599696	1395242
100750	521	509	12929799	2	12	1	0	1630777	304	249	11217210	2710867	25	181	1570477	41	861168	1	583953	1416344
101000	542	514	13133837	23	19	37	0	1592136	235	235	11034218	2705147	20	0	1583901	57	902949	1	596488	1415775
101250	524	481	13006363	2	17	0	0	1569604	190	301	11461224	2733944	23	0	1584716	24	785781	1	603091	1417663
101500	546	591	13423306	40	51	0	0	1571281	136	270	11067772	2727467	24	4	1586916	27	687618	22	615452	1416177
101750	523	464	13146972	3	17	1	0	1592290	142	264	11094074	2772077	24	0	1626647	60	724580	13	603988	1407568
102000	523	459	13131375	6	16	0	16	1566650	166	259	10920283	2747650	24	0	1600908	28	803823	34	607099	1439604
102250	506	435	13293946	5	42	0	0	1626643	126	342	10818063	2745153	40	0	1596384	19	775812	62	601662	1423438
102500	519	448	13364745	3	28	3	0	1627493	154	195	10977789	2962849	24	0	1627068	101	765980	18	614324	1440051
102750	546	486	13353000	43	13	0	0	1610102	145	291	11423895	2757256	23	0	1612812	28	662473	13	603677	1437039
103000	512	488	13489662	2	15	1	26	1622199	21184	397	10932631	2768559	27	0	1628247	22	656284	6	594939	1442614
103250	536	561	13335710	5	31	0	3	1659145	75	444	10095709	2742337	35	9	1648959	70	644641	0	610504	1525283
103500	544	575	14550489	40	16	0	0	1629141	72	208	10334474	2721954	29	89	1635156	27	700013	0	642972	1764181
103750	524	632	15103729	5	17	1	1	1609074	66	170	10191610	2896563	92	0	1620879	51	668934	0	627466	1461679
104000	535	1753	15193285	4	14	0	39	1590996	84	87	10169680	2967672	16	0	1627139	31	627195	0	666838	1455339
104250	6	11	181208	0	0	0	0	18439	5	3	125648	35390	0	0	20329	0	6952	1	10857	17580

