Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
15000	623	292	1640243	1	12	0	0	216895	417	27	1695581	128013	51	1	227124	70	110397	0	85943	212552
15250	802	293	1651720	4	28	9	0	225874	470	8	1731014	135811	20	2	230151	53	106795	0	90985	206460
15500	1076	255	1693710	36	11	2	0	227469	517	1	1767040	135895	16	11	237800	20	107567	0	89246	209447
15750	884	292	1676255	54	11	0	2	242545	450	0	1783017	153878	72	0	238893	27	116278	0	92825	211238
16000	807	293	1769392	2	15	0	0	245985	318	21	1820363	143187	12	0	246394	54	111376	0	91312	215656
16250	583	296	1764391	15	8	0	1	238858	274	0	1845468	167018	18	32	251121	49	118331	0	96847	224535
16500	608	256	1789481	42	10	50	1	247440	278	4	1872987	156304	26	0	252646	1860	124251	0	94881	227748
16750	488	363	1827926	1	11	0	18	247166	296	28	1911521	154596	11	0	261143	59	119492	0	97860	233276
17000	462	303	1840815	4	20	0	0	247143	271	1	1935447	158632	12	0	263649	23	134528	0	96110	237999
17250	453	274	1885225	6	8	0	1	252279	975	29	1997397	176002	15	0	268142	27	141645	0	100086	241502
17500	639	285	1923345	2	117	0	10	256042	538	2	2003902	170525	33	11	279875	25	132872	0	103031	238870
17750	348	265	1955679	4	13	0	0	267909	255	2	2007048	203101	17	0	278992	16	126814	0	100356	239631
18000	327	276	1991882	1	16	0	38	270174	237	69	2044795	185391	135	0	283359	69	145415	0	107075	248432
18250	413	287	2029966	3	14	0	0	272417	290	3	2070999	174424	22	0	282617	89	128549	0	103388	258066
18500	341	256	2038579	33	17	0	17	276297	184	45	2095774	184680	17	1	277846	20	127492	0	107864	254934
18750	303	325	2080710	6	18	1	2	279159	124	36	2145457	194329	38	10	287296	26	132828	0	106789	254688
19000	330	253	2119533	2	18	17	0	287577	154	326	2134972	216605	6	0	273378	50	134638	0	109295	260537
19250	311	298	2123543	44	15	0	0	285496	130	161	2173631	220339	1	0	276537	21	147854	0	112399	269816
19500	320	256	2167562	16	56	1	17	304376	249	258	2200275	190548	8	1	294422	25	136794	0	113409	266292
19750	325	392	2198747	107	42	1	0	306213	206	188	2281465	209349	19	0	298774	95	139842	0	113198	272283
20000	300	272	2228423	35	11	1	0	308619	137	204	2296256	228529	10	0	291077	20	138657	0	116648	271611
20250	314	261	2259817	4	9	0	1	299254	114	75	2278365	250207	10	0	305259	25	146853	0	121600	278632
20500	334	315	2267654	6	8	0	1	313645	129	95	2342935	235366	9	0	305149	41	147187	0	116993	282936
20750	305	258	2306435	3	38	0	3	316482	130	81	2372139	234267	28	1	304159	26	154442	23	114151	292308
21000	378	269	2319317	41	11	1	0	310549	161	157	2405186	251073	9	0	303385	36	160211	1	125682	291478
